actor_id,name
589,Burt Lancaster
590,Burt Reynolds
591,Burt Young
592,Buster Crabbe
593,Buster Keaton
594,Buzz Kilman
595,Byron Mann
596,C. Aubrey Smith
597,C. Thomas Howell
598,C.W. Mundy
599,Cab Calloway
600,Caerthan Banks
601,Caitlin Clarke
602,Cal Kuniholm
603,Calista Flockhart
604,Callie Thorne
605,Callum Keith Rennie
606,Cameron Bancroft
607,Cameron Bright
608,Cameron Diaz
609,Cameron Mitchell
610,Camilla Belle
611,Camilla Sparv
612,Camille Coduri
613,Campbell Scott
614,Candace Glendenning
615,Candice Bergen
616,Candy Clark
617,Cantinflas
618,Capucine
619,Carey Mulligan
620,Carl Anderson
621,Carl Bradshaw
622,Carl Reiner
623,Carl Weathers
624,Carla Gallo
625,Carla Gugino
626,Carlene Watkins
627,Carlo Giustini
628,Carlos Montalbán
629,Carmen Argenziano
630,Carol Kane
631,Carol Lynley
632,Carol van Herwijnen
633,Carole Bouquet
634,Carole Landis
635,Carole Lombard
636,Caroline Ducey
637,Caroline Goodall
638,Caroline Kava
639,Caroline Langrishe
640,Caroline Munro
641,Caroline Rothwell
642,Carolyn Jones
643,Carolyn Mitchell
644,Carrie Fisher
645,Carrie Henn
646,Carrie Snodgress
647,Carrie-Anne Moss
648,Carroll Baker
649,Carroll O'Connor
650,Cary Elwes
651,Cary Grant
652,Cary-Hiroyuki Tagawa
653,Casey Affleck
654,Casey Siemaszko
655,Casper van Dien
656,Cassandra Peterson
657,Cassy Friel
658,Cate Blanchett
659,Catherine An
660,Catherine Breillat
661,Catherine Deneuve
662,Catherine Hicks
663,Catherine Keener
664,Catherine Mary Stewart
665,Catherine McCormack
666,Catherine O'Hara
667,Catherine Schell
668,Catherine Zeta-Jones
669,Cathy Downs
670,Cathy Moriarty
671,Cathy Tyson
672,Catlin Adams
673,Cecil Kellaway
674,Cecil Parker
675,Cecilia Camacho
676,Cecillia Stark
677,Celeste Holm
678,Celia Johnson
679,Celia Lovsky
680,Cesar Romero
681,Cesare Danova
682,Cesare Doneva
683,Chad Everett
684,Chad Lowe
685,Chaim Girafi
686,Chaney Kley
687,Charlene Holt
688,Charles Aznavour
689,Charles Bickford
690,Charles Boyer
691,Charles Bronson
692,Charles Cioffi
693,Charles Coburn
694,Charles Dance
695,Charles Drake
696,Charles Durning
697,Charles Fleischer
698,Charles Gray
699,Charles Grodin
700,Charles Haid
701,Charles Hallahan
702,Charles Halton
703,Charles Hawtrey
704,Charles Herbert
705,Charles Laughton
706,Charles Martin Smith
707,Charles McGraw
708,Charles Middleton
709,Charles Napier
710,Charles Ogle
711,Charles Ruggles
712,Charles S. Dutton
713,Charles Starrett
714,Charles Vanel
715,Charles Waldron
716,Charley Grapewin
717,Charlie Chaplin
718,Charlie Cox
719,Charlie Korsmo
720,Charlie Sheen
721,Charlie Tanimoto
722,Charlize Theron
723,Charlotte Cornwell
724,Charlotte Lewis
725,Charlotte Rampling
726,Charlton Heston
727,Chazz Dominguez
728,Chazz Palminteri
729,Cheech Marin
730,Chelsea Field
731,Cher
732,Cherie Lunghi
733,Cheryl Campbell
734,Cheryl Ladd
735,Cheryl Pollak
736,Chester Morris
737,Chevy Chase
738,Chi McBride
739,Chiara Mastroianni
740,Chico Marx
741,Chief Dan George
742,Chieko Matsubara
743,Chintara Sukapatana
744,Chips Rafferty
745,Chloe Franks
746,Chloe Moretz
747,Chloe Webb
748,Chloë Sevigny
749,Chow Yun Fat
750,Chris Bauer
751,Chris Cooke
752,Chris Cooper
753,Chris Eigeman
754,Chris Elliott
755,Chris Evans
756,Chris Farley
757,Chris Haywood
758,Chris Isaak
759,Chris Kattan
760,Chris Klein
761,Chris Lemmon
762,Chris Noth
763,Chris O'Donnell
764,Chris O'Neill
765,Chris Owen
766,Chris Parker
767,Chris Pedersen
768,Chris Penn
769,Chris Rock
770,Chris Sarandon
771,Chris Stafford
772,Chris Tucker
773,Christa Denton
774,Christian Bale
775,Christian Slater
776,Christina Applegate
777,Christina Brucato
778,Christina Pickles
779,Christina Ricci
780,Christina Vidal
781,Christine Cavanaugh
782,Christine Elise
783,Christine Kaufmann
784,Christine Lahti
785,Christine Noonan
786,Christine Taylor
787,Christophe Malavoy
788,Christopher Atkins
789,Christopher Cary
790,Christopher Castile
791,Christopher Cazenove
792,Christopher Daniel Barnes
793,Christopher Eccleston
794,Christopher George
795,Christopher Jones
796,Christopher Lambert
797,Christopher Lee
798,Christopher Lloyd
799,Christopher McDonald
800,Christopher Mitchum
801,Christopher Penn
802,Christopher Plummer
803,Christopher Reeve
804,Christopher Stone
805,Christopher Walken
806,Chuck Bush
807,Chuck Connors
808,Chuck Norris
809,Chuck Schoville
810,Ciarán Hinds
811,Cillian Murphy
812,Cindy Morgan
813,Cindy Pickett
814,Cindy Williams
815,Claire Bloom
816,Claire Danes
817,Claire Forlani
818,Claire Trevor
819,Clancy Brown
820,Clare Higgins
821,Clarence Felder
822,Clark Gable
823,Claude Akins
824,Claude Atkins
825,Claude Atkuns
826,Claude Dauphin
827,Claude Earl Jones
828,Claude Gensac
829,Claude Jade
830,Claude Jarman Jr.
831,Claude Rains
832,Claude Rich
833,Claudette Colbert
834,Claudia Barrett
835,Claudia Cardinale
836,Claudia Christian
837,Claudia Drake
838,Claudia Stedelin
839,Claudine Auger
840,Claudine Longet
841,Clayton Rohner
842,Clea DuVall
843,Cleavon Little
844,Clelia Matania
845,Cliff De Young
846,Cliff Gorman
847,Cliff Osmond
848,Cliff Potts
849,Cliff Richard
850,Cliff Robertson
851,Clifton Collins Jr.
852,Clifton James
853,Clifton Webb
854,Clint Eastwood
855,Clint Walker
856,Clive Brook
857,Clive Owen
858,Clive Revill
859,Clive Russell
860,Cloris Leachman
861,Cole Hauser
862,Cole Sprouse
863,Coleen Gray
864,Colin Farrell
865,Colin Firth
866,Colin Friels
867,Colleen Camp
868,Colleen Dewhurst
869,Colleen Rennison
870,Colm Meaney
871,Connie Mason
872,Connie Nielsen
873,Connie Scott
874,Conny Van Dyke
875,Conrad Veidt
876,Constance Collier
877,Constance Cummings
878,Constance Marie
879,Constance Towers
880,Cora Witherspoon
881,Corbin Bernsen
882,Corey Feldman
883,Corey Haim
884,Corin Redgrave
885,Corinne Clery
886,Cornel Wilde
887,Cory Danziger
888,Courteney Cox
889,Courtney B. Vance
890,Courtney Chase
891,Courtney Love
892,Craig Bierko
893,Craig Chester
894,Craig Ferguson
895,Craig Kelly
896,Craig Olejnik
897,Craig Reay
898,Craig Sheffer
899,Craig Smith
900,Craig Stevens
901,Craig T. Nelson
902,Craig Vandenburgh
903,Craig Warnock
904,Craig Wasson
905,Crispin Glover
906,Cristi Harris
907,Cuba Gooding Jr.
908,Curd Jürgens
909,Cybill Shepherd
910,Cyd Charisse
911,Cylk Cozart
912,Cynthia Myers
913,Cynthia Patrick
914,Cynthia Rhodes
915,Cynthia Stevenson
916,Cyril Cusack
917,Cyril McLagian
918,Cyril O'Reilly
919,Céline Lomez
920,D.B. Sweeney
921,D.J. Cotrona
922,D.W. Moffett
923,Dabney Coleman
924,Daisy Eagan
925,Daisy the Dog
926,Dale Midkiff
927,Dale Robertson
928,Daliah Lavi
929,Dallas Roberts
930,Dame May Whitty
931,Damian Chapa
932,Damon Wayans
933,Damon Wimbley
934,Dan Aykroyd
935,Dan Duryea
936,Dan Hedaya
937,Dan Hicks
938,Dan Monahan
939,Dan Moran
940,Dan O'Herlihy
941,Dan O`Bannon
942,Dan O`Herlihy
943,Dana Andrews
944,Dana Carvey
945,Dana Davis
946,Dana Delany
947,Dana Hill
948,Dana Wheeler-Nicholson
949,Dana Wynter
950,Daniel Baldwin
951,Daniel Benzali
952,Daniel Briquet
953,Daniel Brühl
954,Daniel Craig
955,Daniel Day-Lewis
956,Daniel Hugh Kelly
957,Daniel Okrent
958,Daniel Olbrychski
959,Daniel Pollock
960,Daniel Shalikar
961,Daniel Southern
962,Daniel Stern
963,Daniel von Bargen
964,Daniela Bianchi
965,Danielle Panabaker
966,Danielle von Zerneck
967,Danny Aiello
968,Danny De La Paz
969,Danny DeVito
970,Danny Dyer
971,Danny Glover
972,Danny Huston
973,Danny Kaye
974,Danny Lloyd
975,Danny Mann
976,Danny McCarthy
977,Danny Mummert
978,Danny Pintauro
979,Danny Schiller
980,Danny Trejo
981,Dany Robin
982,Daphne Anderson
983,Daphne Zuniga
984,Daria Halprin
985,Daria Nicolodi
986,Darin Heames
987,Darla Hood
988,Darlene Cates
989,Darren Dalton
990,Darren McGavin
991,Darren Robinson
992,Darwyn Carson
993,Daryl Hannah
994,Dave Chappelle
995,Dave Goelz
996,David Alan Grier
997,David Andrews
998,David Arkin
999,David Arnott
1000,David Arquette
1001,David Bennent
1002,David Bowe
1003,David Bowie
1004,David Carradine
1005,David Caruso
1006,David Clennon
1007,David Colin Jr.
1008,David Conrad
1009,David Della Rocco
1010,David Duchovny
1011,David Emge
1012,David Essex
1013,David Farrar
1014,David Frankham
1015,David Gale
1016,David Gallagher
1017,David Gant
1018,David Graf
1019,David Gulpilil
1020,David Hedison
1021,David Hemmings
1022,David Huffman
1023,David Janssen
1024,David Keith
1025,David Kelly
1026,David Kossoff
1027,David Labiosa
1028,David Manners
1029,David Margulies
1030,David Marshall Grant
1031,David McCallum
1032,David McKay
1033,David Michael Williamson
1034,David Miller
1035,David Morse
1036,David Naughton
1037,David Niven
1038,David Proval
1039,David Prowse
1040,David Rappaport
1041,David Rott
1042,David Samson
1043,David Schwimmer
1044,David Soul
1045,David Spade
1046,David Strathairn
1047,David Tennant
1048,David Thewlis
1049,David Tomlinson
1050,David Tress
1051,David Warner
1052,David Wayne
1053,David Wenham
1054,David Wood
1055,Dawn Anderson
1056,Dayle Haddon
1057,DeForest Kelly
1058,Dean Cain
1059,Dean Jagger
1060,Dean Jones
1061,Dean Martin
1062,Dean Stockwell
1063,Debbie Reynolds
1064,Debi Mazar
1065,Deborah Ann Woll
1066,Deborah Harry
1067,Deborah Kara Unger
1068,Deborah Kerr
1069,Deborah Moore
1070,Deborah Rennard
1071,Deborah Richter
1072,Deborah Shelton
1073,Deborah Walley
1074,Deborra-Lee Furness
1075,Debra Deliso
1076,Debra Feuer
1077,Debra Paget
1078,Debra Winger
1079,Dee Wallace-Stone
1080,Deep Roy
1081,Delia Boccardo
1082,Delle Bolton
1083,Delphine Seyrig
1084,Delroy Lindo
1085,Demi Moore
1086,Denholm Elliott
1087,Denis Lawson
1088,Denis Leary
1089,Denis O'Hare
1090,Denise Crosby
1091,Denise Darcel
1092,Denise Richards
1093,Dennis Busch
1094,Dennis Dugan
1095,Dennis Dun
1096,Dennis Farina
1097,Dennis Franz
1098,Dennis Haysbert
1099,Dennis Hoey
1100,Dennis Hopper
1101,Dennis King
1102,Dennis Lotis
1103,Dennis Miller
1104,Dennis Morgan
1105,Dennis O'Keefe
1106,Dennis Price
1107,Dennis Quaid
1108,Dennis Rodman
1109,Dennis Storhøi
1110,Dennis Weaver
1111,Denver Pyle
1112,Denys Hawthorne
1113,Denzel Washington
1114,Derek Bond
1115,Derek Elphinstone
1116,Derek Jacobi
1117,Derek de Lint
1118,Dermot Mulroney
1119,Derrick De Marney
1120,Des McAleer
